Label,Sentence,cleaned_text,tokenized_text,processed_text
surprise,"कोई खिलाना नहीं है, hmm.",कई खलन नह ह hmm,कई खलन नह ह hmm,कई खलन नह ह hmm
sadness,क्या?,कय,कय,कय
neutral,"क्या हो गया है, प्यारे?",कय ह गय ह पयर,कय ह गय ह पयर,कय ह गय ह पयर
joy,"कुछ नहीं, कुछ नहीं।",कछ नह कछ नह,कछ नह कछ नह,कछ नह कछ नह
joy,"अरे, क्या हो गया है, चलो.",अर कय ह गय ह चल,अर कय ह गय ह चल,अर कय ह गय ह चल
sadness,"यह, मेरा मतलब है, यह कुछ भी नहीं है, मैं ठीक हूँ।",यह मर मतलब ह यह कछ भ नह ह म ठक ह,यह मर मतलब ह यह कछ भ नह ह म ठक ह,मर मतलब ह कछ भ नह ह म ठक ह
sadness,ये मेरे दोस्त हैं।,य मर दसत ह,य मर दसत ह,य मर दसत ह
sadness,वे-उन्हें तुम्हारे साथ एक पसंद की समस्या है।,वउनह तमहर सथ एक पसद क समसय ह,वउनह तमहर सथ एक पसद क समसय ह,वउनह तमहर सथ एक पसद क समसय ह
sadness,"कि, हं, वे नहीं है।",क ह व नह ह,क ह व नह ह,क ह व नह ह
surprise,ओह। वे नहीं करते।,ओह व नह करत,ओह व नह करत,ओह व नह करत
joy,लेकिन वे सभी अद्भुतता नहीं देखते जो मैं देखता हूँ।,लकन व सभ अदभतत नह दखत ज म दखत ह,लकन व सभ अदभतत नह दखत ज म दखत ह,लकन व सभ अदभतत नह दखत ज म दखत ह
sadness,वे सभी अच्छे और सभी मीठे चीजें नहीं देखते।,व सभ अचछ और सभ मठ चज नह दखत,व सभ अचछ और सभ मठ चज नह दखत,व सभ अचछ सभ मठ चज नह दखत
joy,वे सिर्फ सोचते हैं कि आप एक छोटा सा...,व सरफ सचत ह क आप एक छट स,व सरफ सचत ह क आप एक छट स,व सरफ सचत ह क आप एक छट स
neutral,तीव्र और भयावह।,तवर और भयवह,तवर और भयवह,तवर भयवह
neutral,तुम मुझे मिला.,तम मझ मल,तम मझ मल,तम मझ मल
neutral,"हाँ, ठीक है।",ह ठक ह,ह ठक ह,ह ठक ह
joy,"अच्छा है, और हे! मेरा इलाज है. लेकिन यह सिर्फ इसलिए है कि आप कुछ नहीं खाते हैं, ठीक है?",अचछ ह और ह मर इलज ह लकन यह सरफ इसलए ह क आप कछ नह खत ह ठक ह,अचछ ह और ह मर इलज ह लकन यह सरफ इसलए ह क आप कछ नह खत ह ठक ह,अचछ ह ह मर इलज ह लकन सरफ इसलए ह क आप कछ नह खत ह ठक ह
joy,मुझे विश्वास नहीं है कि हम यहाँ हैं।,मझ वशवस नह ह क हम यह ह,मझ वशवस नह ह क हम यह ह,मझ वशवस नह ह क हम ह
surprise,"ओह, तुम मुझे हॅसी कर रहे हो.",ओह तम मझ हस कर रह ह,ओह तम मझ हस कर रह ह,ओह तम मझ हस कर रह ह
neutral,"आपकी शादी के उपहार के रूप में, होटल आपको हनीमून सूट देना चाहता है।",आपक शद क उपहर क रप म हटल आपक हनमन सट दन चहत ह,आपक शद क उपहर क रप म हटल आपक हनमन सट दन चहत ह,आपक शद क उपहर क रप म हटल आपक हनमन सट दन चहत ह
anger,नहीं! आप हमें दिन भर छेड़ रहे हैं!,नह आप हम दन भर छड रह ह,नह आप हम दन भर छड रह ह,नह आप हम दन भर छड रह ह
surprise,तुम कौन हो?,तम कन ह,तम कन ह,तम कन ह
neutral,हम केवल दस सेकंड बाद तुम हो!,हम कवल दस सकड बद तम ह,हम कवल दस सकड बद तम ह,हम कवल दस सकड बद तम ह
anger,आप पहले वर्ग टिकट पहले से ही मिल गया है.. आप लैंग है!,आप पहल वरग टकट पहल स ह मल गय ह आप लग ह,आप पहल वरग टकट पहल स ह मल गय ह आप लग ह,आप पहल वरग टकट पहल स ह मल गय ह आप लग ह
anger,मेरा मतलब है कि हमें भी निःशुल्क चीज़ें मिलनी चाहिए!,मर मतलब ह क हम भ नशलक चज मलन चहए,मर मतलब ह क हम भ नशलक चज मलन चहए,मर मतलब ह क हम भ नशलक चज मलन चहए
anger,मेरा मतलब है कि आप अपने शहद मास पर एकमात्र नहीं हैं!,मर मतलब ह क आप अपन शहद मस पर एकमतर नह ह,मर मतलब ह क आप अपन शहद मस पर एकमतर नह ह,मर मतलब ह क आप अपन शहद मस पर एकमतर नह ह
neutral,अच्छी तरह से आप अगर आप चाहते हैं तो सूट रख सकते हैं।,अचछ तरह स आप अगर आप चहत ह त सट रख सकत ह,अचछ तरह स आप अगर आप चहत ह त सट रख सकत ह,अचछ तरह स आप अगर आप चहत ह त सट रख सकत ह
neutral,हम जहाँ रहते हैं उसके बारे में चिंता नहीं करते।,हम जह रहत ह उसक बर म चत नह करत,हम जह रहत ह उसक बर म चत नह करत,हम जह रहत ह उसक बर म चत नह करत
anger,हम यहां हमारे प्रेम को एक साथ मनाने के लिए आए हैं।,हम यह हमर परम क एक सथ मनन क लए आए ह,हम यह हमर परम क एक सथ मनन क लए आए ह,हम हमर परम क एक सथ मनन क लए आए ह
anger,हमें निःशुल्क चीजें नहीं मिलनी पड़ेंगी।,हम नशलक चज नह मलन पडग,हम नशलक चज नह मलन पडग,हम नशलक चज नह मलन पडग
joy,हम सिर्फ एक साथ रहना चाहते हैं।,हम सरफ एक सथ रहन चहत ह,हम सरफ एक सथ रहन चहत ह,हम सरफ एक सथ रहन चहत ह
neutral,हमें सामान की जरूरत है।,हम समन क जररत ह,हम समन क जररत ह,हम समन क जररत ह
neutral,"ठीक है, तो फिर एक हाथhake के बारे में क्या होगा?",ठक ह त फर एक हथhake क बर म कय हग,ठक ह त फर एक हथhake क बर म कय हग,ठक ह त फर एक हथhake क बर म कय हग
joy,"ओह भगवान, मुझे क्षमा है!",ओह भगवन मझ कषम ह,ओह भगवन मझ कषम ह,ओह भगवन मझ कषम ह
joy,"ओह भगवान, मुझे क्षमा है!",ओह भगवन मझ कषम ह,ओह भगवन मझ कषम ह,ओह भगवन मझ कषम ह
fear,मैं उस पर हाथ लगाने का मतलब नहीं था-मैं मतलब है,म उस पर हथ लगन क मतलब नह थम मतलब ह,म उस पर हथ लगन क मतलब नह थम मतलब ह,म उस पर हथ लगन क मतलब नह थम मतलब ह
joy,हे फीब्स!,ह फबस,ह फबस,ह फबस
joy,देखो. मैं कितना आदमी हूँ!,दख म कतन आदम ह,दख म कतन आदम ह,दख म कतन आदम ह
fear,अरे! अच्छा है! मनुष्यीय और एक तरह से एक slut भी है.,अर अचछ ह मनषयय और एक तरह स एक slut भ ह,अर अचछ ह मनषयय और एक तरह स एक slut भ ह,अर अचछ ह मनषयय एक तरह स एक slut भ ह
neutral,"जो हमें वापस लाता है, वास्तव में, ग्रीली के प्रभुत्व के सिद्धांत के लिए।",ज हम वपस लत ह वसतव म गरल क परभतव क सदधत क लए,ज हम वपस लत ह वसतव म गरल क परभतव क सदधत क लए,ज हम वपस लत ह वसतव म गरल क परभतव क सदधत क लए
neutral,"ठीक है, यह आज के लिए सब है।",ठक ह यह आज क लए सब ह,ठक ह यह आज क लए सब ह,ठक ह आज क लए सब ह
neutral,"ओह, uh किसी को पता है कि फ्रीमन भवन कहाँ है?",ओह uh कस क पत ह क फरमन भवन कह ह,ओह uh कस क पत ह क फरमन भवन कह ह,ओह uh कस क पत ह क फरमन भवन कह ह
neutral,"हाँ, यह एवेन्यू ए पर नई इमारत है।",ह यह एवनय ए पर नई इमरत ह,ह यह एवनय ए पर नई इमरत ह,ह एवनय ए पर नई इमरत ह
surprise,"क्या! कि-ऐसा पूरा रास्ता है कि शहर के पार, मैं वहाँ दस मिनट में एक स्नातक सेमिनार अध्यापन करने के लिए किया जाना है।",कय कऐस पर रसत ह क शहर क पर म वह दस मनट म एक सनतक समनर अधयपन करन क लए कय जन ह,कय कऐस पर रसत ह क शहर क पर म वह दस मनट म एक सनतक समनर अधयपन करन क लए कय जन ह,कय कऐस पर रसत ह क शहर क पर म वह दस मनट म एक सनतक समनर अधयपन करन क लए कय जन ह
neutral,"ओह, आदमी. ऐसा नहीं होगा.",ओह आदम ऐस नह हग,ओह आदम ऐस नह हग,ओह आदम ऐस नह हग
anger,खिसकें! खिसकें! खिसकें!! अरे!!! मैं शिक्षक हूँ!!,खसक खसक खसक अर म शकषक ह,खसक खसक खसक अर म शकषक ह,खसक खसक खसक अर म शकषक ह
neutral,जैसन?,जसन,जसन,जसन
neutral,"हाँ, आओ.",ह आओ,ह आओ,ह आओ
neutral,"तो Phoebe, तुम ah, फोन पर एक तरह से गंभीर लग रहा है, है ah, क्या कुछ गलत है?",त Phoebe तम ah फन पर एक तरह स गभर लग रह ह ह ah कय कछ गलत ह,त Phoebe तम ah फन पर एक तरह स गभर लग रह ह ह ah कय कछ गलत ह,त Phoebe तम ah फन पर एक तरह स गभर लग रह ह ह ah कय कछ गलत ह
surprise,नहीं. और मैं नहीं सोचता कि मैं करना चाहता हूँ.,नह और म नह सचत क म करन चहत ह,नह और म नह सचत क म करन चहत ह,नह म नह सचत क म करन चहत ह
sadness,मैं ऐसा नहीं कर सकता।,म ऐस नह कर सकत,म ऐस नह कर सकत,म ऐस नह कर सकत
sadness,"हाँ, हाँ, यह मैं नहीं जानना चाहता था।",ह ह यह म नह जनन चहत थ,ह ह यह म नह जनन चहत थ,ह ह म नह जनन चहत थ
sadness,"खैर, ओह, मार्क, मैं गलत कारणों के लिए यह कर रहा हूँ, तुम्हें पता है?",खर ओह मरक म गलत करण क लए यह कर रह ह तमह पत ह,खर ओह मरक म गलत करण क लए यह कर रह ह तमह पत ह,खर ओह मरक म गलत करण क लए कर रह ह तमह पत ह
sadness,मैं सिर्फ यह कर रहा हूँ रॉस पर वापस आने के लिए।,म सरफ यह कर रह ह रस पर वपस आन क लए,म सरफ यह कर रह ह रस पर वपस आन क लए,म सरफ कर रह ह रस पर वपस आन क लए
sadness,"मुझे अफसोस है, यह आप के लिए बहुत निष्पक्ष नहीं है।",मझ अफसस ह यह आप क लए बहत नषपकष नह ह,मझ अफसस ह यह आप क लए बहत नषपकष नह ह,मझ अफसस ह आप क लए बहत नषपकष नह ह
surprise,आह!,आह,आह,आह
sadness,"फर, shmair",फर shmair,फर shmair,फर shmair
neutral,तुम्हें पता है?,तमह पत ह,तमह पत ह,तमह पत ह
neutral,"देखो, अगर आप को Ross पर वापस जाना है, मैं आपके लिए यहाँ हूँ.",दख अगर आप क Ross पर वपस जन ह म आपक लए यह ह,दख अगर आप क Ross पर वपस जन ह म आपक लए यह ह,दख अगर आप क Ross पर वपस जन ह म आपक लए ह
neutral,"नहीं-नहीं, मैं कहता हूँ-नहीं, मैं कहता हूँ, मैं कहता हूँ कि हम इस कुर्सी पर उसके पास वापस जाओ.",नहनह म कहत हनह म कहत ह म कहत ह क हम इस करस पर उसक पस वपस जओ,नहनह म कहत हनह म कहत ह म कहत ह क हम इस करस पर उसक पस वपस जओ,नहनह म कहत हनह म कहत ह म कहत ह क हम इस करस पर उसक पस वपस जओ
anger,यहाँ!,यह,यह,
sadness,ओह भगवान. मैं इस के बारे में क्षमा कर रहा हूँ.,ओह भगवन म इस क बर म कषम कर रह ह,ओह भगवन म इस क बर म कषम कर रह ह,ओह भगवन म इस क बर म कषम कर रह ह
neutral,यह ठीक है।,यह ठक ह,यह ठक ह,ठक ह
joy,आप निश्चित हैं?,आप नशचत ह,आप नशचत ह,आप नशचत ह
neutral,"हाँ, मैं सिर्फ घर जा सकता हूँ और अपने आप से उसके पास वापस मिल सकता है।",ह म सरफ घर ज सकत ह और अपन आप स उसक पस वपस मल सकत ह,ह म सरफ घर ज सकत ह और अपन आप स उसक पस वपस मल सकत ह,ह म सरफ घर ज सकत ह अपन आप स उसक पस वपस मल सकत ह
joy,यहाँ वह है! भावी फैशन सुपर स्टार!,यह वह ह भव फशन सपर सटर,यह वह ह भव फशन सपर सटर,वह ह भव फशन सपर सटर
neutral,"ओह जोय, मैं शायद एक नहीं हूँ",ओह जय म शयद एक नह ह,ओह जय म शयद एक नह ह,ओह जय म शयद एक नह ह
joy,मेरी छोटी बहन दीना!,मर छट बहन दन,मर छट बहन दन,मर छट बहन दन
neutral,और हम यहाँ जा रहे हैं,और हम यह ज रह ह,और हम यह ज रह ह,हम ज रह ह
disgust,"मैंने एक बार इस फिल्म को देखा था जिसमें एक दरवाजा था और कोई नहीं जानता था कि उसके पीछे क्या है, और जब वे अंत में इसे खोल दिया था तो लाखों और लाखों कीड़े बाहर निकले और वे मानव मांस पर पक रहे थे।",मन एक बर इस फलम क दख थ जसम एक दरवज थ और कई नह जनत थ क उसक पछ कय ह और जब व अत म इस खल दय थ त लख और लख कड बहर नकल और व मनव मस पर पक रह थ,मन एक बर इस फलम क दख थ जसम एक दरवज थ और कई नह जनत थ क उसक पछ कय ह और जब व अत म इस खल दय थ त लख और लख कड बहर नकल और व मनव मस पर पक रह थ,मन एक बर इस फलम क दख थ जसम एक दरवज थ कई नह जनत थ क उसक पछ कय ह जब व अत म इस खल दय थ त लख लख कड बहर नकल व मनव मस पर पक रह थ
joy,आप जानते हैं कि यह आपकी पत्नी की गोपनीयता का सम्मान करने के लिए तुम्हें मार नहीं डालेगा!,आप जनत ह क यह आपक पतन क गपनयत क सममन करन क लए तमह मर नह डलग,आप जनत ह क यह आपक पतन क गपनयत क सममन करन क लए तमह मर नह डलग,आप जनत ह क आपक पतन क गपनयत क सममन करन क लए तमह मर नह डलग
anger,बगों से भरी मूर्ख खिड़की!,बग स भर मरख खडक,बग स भर मरख खडक,बग स भर मरख खडक
fear,"Joey. Joey, कुछ अजीब लगता है और नहीं अच्छा अजीब. मैं नहीं-Whoa!!",Joey Joey कछ अजब लगत ह और नह अचछ अजब म नहWhoa,Joey Joey कछ अजब लगत ह और नह अचछ अजब म नहWhoa,Joey Joey कछ अजब लगत ह नह अचछ अजब म नहWhoa
neutral,"जब मेरी बहनें गर्भावस्था में थीं तो वे किताब में हर अजीब बात महसूस करते थे, यह हमेशा कुछ भी नहीं था।",जब मर बहन गरभवसथ म थ त व कतब म हर अजब बत महसस करत थ यह हमश कछ भ नह थ,जब मर बहन गरभवसथ म थ त व कतब म हर अजब बत महसस करत थ यह हमश कछ भ नह थ,जब मर बहन गरभवसथ म थ त व कतब म हर अजब बत महसस करत थ हमश कछ भ नह थ
neutral,सचमुच?,सचमच,सचमच,सचमच
neutral,निश्चित रूप से।,नशचत रप स,नशचत रप स,नशचत रप स
neutral,"ठीक है राच-राच-राच मुझे देखो, मुझे देखो, सब कुछ ठीक हो जाएगा, मुझे विश्वास करो।",ठक ह रचरचरच मझ दख मझ दख सब कछ ठक ह जएग मझ वशवस कर,ठक ह रचरचरच मझ दख मझ दख सब कछ ठक ह जएग मझ वशवस कर,ठक ह रचरचरच मझ दख मझ दख सब कछ ठक ह जएग मझ वशवस कर
neutral,मेरा हाथ पकड़ो।,मर हथ पकड,मर हथ पकड,मर हथ पकड
neutral,यहाँ हम जा रहे हैं।,यह हम ज रह ह,यह हम ज रह ह,हम ज रह ह
surprise,हड्डियाँ तोड़ रही हैं!,हडडय तड रह ह,हडडय तड रह ह,हडडय तड रह ह
neutral,ओह हैलो.,ओह हल,ओह हल,ओह हल
surprise,"ओह, यह आप है. मैं आप को हर जगह देखता हूँ. मैं जिम हूँ, जिम नेल्सन.",ओह यह आप ह म आप क हर जगह दखत ह म जम ह जम नलसन,ओह यह आप ह म आप क हर जगह दखत ह म जम ह जम नलसन,ओह आप ह म आप क हर जगह दखत ह म जम ह जम नलसन
neutral,"ओ जिम, जिम नेल्सन मैं Phoebe हूँ, Phoebe Buffay. हम निश्चित रूप से एक दूसरे का बहुत देख रहे हैं हाल ही में.",ओ जम जम नलसन म Phoebe ह Phoebe Buffay हम नशचत रप स एक दसर क बहत दख रह ह हल ह म,ओ जम जम नलसन म Phoebe ह Phoebe Buffay हम नशचत रप स एक दसर क बहत दख रह ह हल ह म,ओ जम जम नलसन म Phoebe ह Phoebe Buffay हम नशचत रप स एक दसर क बहत दख रह ह हल ह म
neutral,"हम है. शायद हम एक-दूसरे को कल रात डिनर पर देखेंगे, 8 बजे के आसपास कहते हैं?",हम ह शयद हम एकदसर क कल रत डनर पर दखग 8 बज क आसपस कहत ह,हम ह शयद हम एकदसर क कल रत डनर पर दखग 8 बज क आसपस कहत ह,हम ह शयद हम एकदसर क कल रत डनर पर दखग 8 बज क आसपस कहत ह
joy,"अच्छा, शायद हम करेंगे. ओह!",अचछ शयद हम करग ओह,अचछ शयद हम करग ओह,अचछ शयद हम करग ओह
anger,"ठीक है, यह एक लड़की सुनना चाहता है कुछ नहीं है।",ठक ह यह एक लडक सनन चहत ह कछ नह ह,ठक ह यह एक लडक सनन चहत ह कछ नह ह,ठक ह एक लडक सनन चहत ह कछ नह ह
joy,"नहीं, चलो मत शुरू करो. ओह!",नह चल मत शर कर ओह,नह चल मत शर कर ओह,नह चल मत शर कर ओह
sadness,मूर्ख गेंदें रास्ते में हैं।,मरख गद रसत म ह,मरख गद रसत म ह,मरख गद रसत म ह
neutral,ठीक है. यह शायद सबसे रचनात्मक समाधान होगा.,ठक ह यह शयद सबस रचनतमक समधन हग,ठक ह यह शयद सबस रचनतमक समधन हग,ठक ह शयद सबस रचनतमक समधन हग
neutral,तुम्हारे चेहरे पर  chalk है।,तमहर चहर पर  chalk ह,तमहर चहर पर chalk ह,तमहर चहर पर chalk ह
joy,है?,ह,ह,ह
sadness,"ओह, रोस आप सही है, मैं नहीं जानता क्यों मैं हमेशा सोचता था कि यह असली घास था।",ओह रस आप सह ह म नह जनत कय म हमश सचत थ क यह असल घस थ,ओह रस आप सह ह म नह जनत कय म हमश सचत थ क यह असल घस थ,ओह रस आप सह ह म नह जनत कय म हमश सचत थ क असल घस थ
joy,"अरे, तुम ठीक हो?",अर तम ठक ह,अर तम ठक ह,अर तम ठक ह
sadness,मेरी पत्नी एक lesbian है।,मर पतन एक lesbian ह,मर पतन एक lesbian ह,मर पतन एक lesbian ह
joy,अच्छा है!,अचछ ह,अचछ ह,अचछ ह
sadness,"Ross, Joey. Joey, Ross.",Ross Joey Joey Ross,Ross Joey Joey Ross,Ross Joey Joey Ross
joy,हां! उन पैंटों में तुम कहाँ जा रहे हो? 1982?,ह उन पट म तम कह ज रह ह 1982,ह उन पट म तम कह ज रह ह 1982,ह उन पट म तम कह ज रह ह 1982
neutral,"ओह मोनिका, सुनो, मैं आह, मैंने हार्डवेयर दुकान में देखा, वे उन डिज़ाइनर टायलों की बिक्री पर मिल गया।",ओह मनक सन म आह मन हरडवयर दकन म दख व उन डजइनर टयल क बकर पर मल गय,ओह मनक सन म आह मन हरडवयर दकन म दख व उन डजइनर टयल क बकर पर मल गय,ओह मनक सन म आह मन हरडवयर दकन म दख व उन डजइनर टयल क बकर पर मल गय
neutral,यदि आप कभी स्नान के फर्श को फिर से करना चाहते हैं।,यद आप कभ सनन क फरश क फर स करन चहत ह,यद आप कभ सनन क फरश क फर स करन चहत ह,यद आप कभ सनन क फरश क फर स करन चहत ह
surprise,"क्यों, मेरे स्नानागार के फर्श में क्या गलत है?",कय मर सननगर क फरश म कय गलत ह,कय मर सननगर क फरश म कय गलत ह,कय मर सननगर क फरश म कय गलत ह
disgust,"कुछ भी नहीं. यह सिर्फ पुराना और गंदा है, इतना ही है.",कछ भ नह यह सरफ परन और गद ह इतन ह ह,कछ भ नह यह सरफ परन और गद ह इतन ह ह,कछ भ नह सरफ परन गद ह इतन ह ह
anger,मैं इस पर बहुत संदेह करता हूं।,म इस पर बहत सदह करत ह,म इस पर बहत सदह करत ह,म इस पर बहत सदह करत ह
disgust,"ओह, हाँ. अगर आप हाँ, अपने  hamper ले जाएँ, आप देख सकते हैं कि क्या रंग टाइल पहले हो गया था. हाँ.",ओह ह अगर आप ह अपन  hamper ल जए आप दख सकत ह क कय रग टइल पहल ह गय थ ह,ओह ह अगर आप ह अपन hamper ल जए आप दख सकत ह क कय रग टइल पहल ह गय थ ह,ओह ह अगर आप ह अपन hamper ल जए आप दख सकत ह क कय रग टइल पहल ह गय थ ह
fear,मैं इस तरह नहीं रह सकता! हम क्या करने जा रहे हैं? हम क्या करने जा रहे हैं?,म इस तरह नह रह सकत हम कय करन ज रह ह हम कय करन ज रह ह,म इस तरह नह रह सकत हम कय करन ज रह ह हम कय करन ज रह ह,म इस तरह नह रह सकत हम कय करन ज रह ह हम कय करन ज रह ह
neutral,आराम करो. यहाँ इसे पकड़ें. यह पुराना सामान बस सही बाहर आता है.,आरम कर यह इस पकड यह परन समन बस सह बहर आत ह,आरम कर यह इस पकड यह परन समन बस सह बहर आत ह,आरम कर इस पकड परन समन बस सह बहर आत ह
disgust,यह मैं देखना चाहता था से थोड़ा अधिक है।,यह म दखन चहत थ स थड अधक ह,यह म दखन चहत थ स थड अधक ह,म दखन चहत थ स थड अधक ह
surprise,ओह!,ओह,ओह,ओह
surprise,"देखो, इस चीज़ का हर इंच चिपकाया गया है।",दख इस चज क हर इच चपकय गय ह,दख इस चज क हर इच चपकय गय ह,दख इस चज क हर इच चपकय गय ह
joy,यह इस पर खींचने के लिए हमेशा ले जाएगा।,यह इस पर खचन क लए हमश ल जएग,यह इस पर खचन क लए हमश ल जएग,इस पर खचन क लए हमश ल जएग
neutral,तुम सिर्फ इसे छोड़ देना चाहिए।,तम सरफ इस छड दन चहए,तम सरफ इस छड दन चहए,तम सरफ इस छड दन चहए
anger,मैं इसे छोड़ नहीं सकता! तुम मेरे ढीले फर्श में एक छिद्र घोल दिया.,म इस छड नह सकत तम मर ढल फरश म एक छदर घल दय,म इस छड नह सकत तम मर ढल फरश म एक छदर घल दय,म इस छड नह सकत तम मर ढल फरश म एक छदर घल दय
neutral,इह! यहाँ तुम जाओ.,इह यह तम जओ,इह यह तम जओ,इह तम जओ
anger,"आप जानते हैं कि अच्छा है, y'know हम इसे वापस वहाँ रख सकते हैं surgeons अपने colon से हटाने के बाद यह पता है कि!",आप जनत ह क अचछ ह yknow हम इस वपस वह रख सकत ह surgeons अपन colon स हटन क बद यह पत ह क,आप जनत ह क अचछ ह yknow हम इस वपस वह रख सकत ह surgeons अपन colon स हटन क बद यह पत ह क,आप जनत ह क अचछ ह yknow हम इस वपस वह रख सकत ह surgeons अपन colon स हटन क बद पत ह क
anger,हाय!,हय,हय,हय
neutral,"Uh, फीब्स, अपने माँ के बारे में...",Uh फबस अपन म क बर म,Uh फबस अपन म क बर म,Uh फबस अपन म क बर म
neutral,यह कैसे चल रहा है?,यह कस चल रह ह,यह कस चल रह ह,कस चल रह ह
joy,"तो बहुत अच्छा. ओह, हम आज एक नाश्ता ले लिया और मेरी माँ मेरे पेट पर सो गई और purred.",त बहत अचछ ओह हम आज एक नशत ल लय और मर म मर पट पर स गई और purred,त बहत अचछ ओह हम आज एक नशत ल लय और मर म मर पट पर स गई और purred,त बहत अचछ ओह हम आज एक नशत ल लय मर म मर पट पर स गई purred
neutral,यह बहुत मधुर है। मैं कुछ कॉफी ले जा रहा हूँ।,यह बहत मधर ह म कछ कफ ल ज रह ह,यह बहत मधर ह म कछ कफ ल ज रह ह,बहत मधर ह म कछ कफ ल ज रह ह
surprise,हू? तुम जो कहते थे? मैं ठीक वहाँ हूँ.,ह तम ज कहत थ म ठक वह ह,ह तम ज कहत थ म ठक वह ह,ह तम ज कहत थ म ठक वह ह
neutral,फीब्स...,फबस,फबस,फबस
neutral,"मैं सिर्फ ऐसा महसूस करता हूँ, उह......",म सरफ ऐस महसस करत ह उह,म सरफ ऐस महसस करत ह उह,म सरफ ऐस महसस करत ह उह
joy,ठीक है!,ठक ह,ठक ह,ठक ह
joy,मैं पहले से ही आ रहा हूँ!!,म पहल स ह आ रह ह,म पहल स ह आ रह ह,म पहल स ह आ रह ह
surprise,क्या आप सोचते हैं कि यह काम करेगा?,कय आप सचत ह क यह कम करग,कय आप सचत ह क यह कम करग,कय आप सचत ह क कम करग
joy,"निश्चित रूप से! और अगर यह नहीं है, तो मैं अतिरिक्त टिकट प्राप्त कर सकता हूँ?",नशचत रप स और अगर यह नह ह त म अतरकत टकट परपत कर सकत ह,नशचत रप स और अगर यह नह ह त म अतरकत टकट परपत कर सकत ह,नशचत रप स अगर नह ह त म अतरकत टकट परपत कर सकत ह
surprise,यह क्या है?,यह कय ह,यह कय ह,कय ह
joy,"Hey, फीब्स! यह Joey है!",Hey फबस यह Joey ह,Hey फबस यह Joey ह,Hey फबस Joey ह
joy,"Hey, Joey!",Hey Joey,Hey Joey,Hey Joey
joy,ओह!,ओह,ओह,ओह
neutral,मैं बस कहता हूँ किसी पर-जो सबवे पर तुम जैसे दिखता है।,म बस कहत ह कस परज सबव पर तम जस दखत ह,म बस कहत ह कस परज सबव पर तम जस दखत ह,म बस कहत ह कस परज सबव पर तम जस दखत ह
joy,"और मैं वहाँ जाने के लिए जा रहा था और कह रहा था ‘हाई!’ लेकिन फिर मैंने सोचा, वह तुम्हें लगता है कि अगर वह परवाह नहीं करता है।",और म वह जन क लए ज रह थ और कह रह थ हई लकन फर मन सच वह तमह लगत ह क अगर वह परवह नह करत ह,और म वह जन क लए ज रह थ और कह रह थ हई लकन फर मन सच वह तमह लगत ह क अगर वह परवह नह करत ह,म वह जन क लए ज रह थ कह रह थ हई लकन फर मन सच वह तमह लगत ह क अगर वह परवह नह करत ह
neutral,"कि सिर्फ मुझे चार डॉलर खर्च. लेकिन uh सुनो, मैं सिर्फ चिकन और बछड़े कैसे कर रहे हैं देखने के लिए बुलाया है?",क सरफ मझ चर डलर खरच लकन uh सन म सरफ चकन और बछड कस कर रह ह दखन क लए बलय ह,क सरफ मझ चर डलर खरच लकन uh सन म सरफ चकन और बछड कस कर रह ह दखन क लए बलय ह,क सरफ मझ चर डलर खरच लकन uh सन म सरफ चकन बछड कस कर रह ह दखन क लए बलय ह
joy,"ओह, वे एक कर रहे हैं",ओह व एक कर रह ह,ओह व एक कर रह ह,ओह व एक कर रह ह
joy,"अच्छा है, लेकिन मैं सिर्फ बहुत अधिक आनंद ले रहा हूँ।",अचछ ह लकन म सरफ बहत अधक आनद ल रह ह,अचछ ह लकन म सरफ बहत अधक आनद ल रह ह,अचछ ह लकन म सरफ बहत अधक आनद ल रह ह
surprise,तो आप अभी तक घर की याद नहीं हैं?,त आप अभ तक घर क यद नह ह,त आप अभ तक घर क यद नह ह,त आप अभ तक घर क यद नह ह
neutral,"नहीं, मैं ऐसा नहीं सोचता।",नह म ऐस नह सचत,नह म ऐस नह सचत,नह म ऐस नह सचत
joy,"ठीक है, हम सात आप की याद है।",ठक ह हम सत आप क यद ह,ठक ह हम सत आप क यद ह,ठक ह हम सत आप क यद ह
neutral,आप देखेंगे।,आप दखग,आप दखग,आप दखग
neutral,"लियम, मुझे एक काम करो. लड़कों को Ross पर आसान चलाने के लिए कह दो, यह उसकी पहली बार है.",लयम मझ एक कम कर लडक क Ross पर आसन चलन क लए कह द यह उसक पहल बर ह,लयम मझ एक कम कर लडक क Ross पर आसन चलन क लए कह द यह उसक पहल बर ह,लयम मझ एक कम कर लडक क Ross पर आसन चलन क लए कह द उसक पहल बर ह
surprise,तुम नहीं कह सकते!,तम नह कह सकत,तम नह कह सकत,तम नह कह सकत
joy,"शुभकामनाएं, प्यारा।",शभकमनए पयर,शभकमनए पयर,शभकमनए पयर
joy,रॉस! रॉस! चलो! यहाँ आ जाओ! रॉस! चलो!,रस रस चल यह आ जओ रस चल,रस रस चल यह आ जओ रस चल,रस रस चल आ जओ रस चल
anger,"रॉस, चलो! खूनी कूड़ा में जाओ! रॉस, अंदर जाओ!",रस चल खन कड म जओ रस अदर जओ,रस चल खन कड म जओ रस अदर जओ,रस चल खन कड म जओ रस अदर जओ
joy,JOEY!!!!!!,JOEY,JOEY,JOEY
